lib	scope	class	typemark	name	category	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
rss	bundled	RSS::DublinCoreModel	#	dc_subject=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_subjects	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_title	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_title=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_titles	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_type	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_type=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::DublinCoreModel	#	dc_types	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::ImageFaviconModel	#	image_favicon	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::ImageFaviconModel	#	image_favicon=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::ImageItemModel	#	image_item	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::ImageItemModel	#	image_item=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF	#	rss_version=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	about	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	about=	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	date	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	date=	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	image_size	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	image_size=	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	size	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::RDF::Channel::ImageFavicon	#	size=	no-class	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::SyndicationModel	#	sy_updateBase	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::SyndicationModel	#	sy_updateBase=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::SyndicationModel	#	sy_updateFrequency	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::SyndicationModel	#	sy_updateFrequency=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::SyndicationModel	#	sy_updatePeriod	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::SyndicationModel	#	sy_updatePeriod=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::TaxonomyTopicModel	#	taxo_topic	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::TaxonomyTopicModel	#	taxo_topic=	no-method	X	X	X	X	X	X	X	all	3.0
rss	bundled	RSS::TaxonomyTopicsModel	#	taxo_topics	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/commands/build_command	stdlib	Gem::Commands::BuildCommand	#	load_gemspecs	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/commands/build_command	stdlib	Gem::Commands::BuildCommand	#	yaml?	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/commands/dependency_command	stdlib	Gem::Commands::DependencyCommand	#	find_gems	no-method	X	X	X	X	X	X	X	all	3.0
