V	2.2.10	489	ruby 2.2.10p489 (2018-03-28 revision 63023) [x86_64-linux]
M	ARGF.class	i	pub	each_codepoint
M	ARGF.class	i	pub	each_line
M	ARGF.class	i	pub	eof
M	ARGF.class	i	pub	eof?
M	ARGF.class	i	pub	external_encoding
M	ARGF.class	i	pub	file
M	ARGF.class	i	pub	filename
M	ARGF.class	i	pub	fileno
M	ARGF.class	i	pub	getbyte
M	ARGF.class	i	pub	getc
M	ARGF.class	i	pub	gets
M	ARGF.class	i	pub	inplace_mode
M	ARGF.class	i	pub	inplace_mode=
M	ARGF.class	i	pub	inspect
M	ARGF.class	i	pub	internal_encoding
M	ARGF.class	i	pub	lineno
M	ARGF.class	i	pub	lineno=
M	ARGF.class	i	pub	lines
M	ARGF.class	i	pub	path
M	ARGF.class	i	pub	pos
M	ARGF.class	i	pub	pos=
M	ARGF.class	i	pub	print
M	ARGF.class	i	pub	printf
M	ARGF.class	i	pub	putc
M	ARGF.class	i	pub	puts
M	ARGF.class	i	pub	read
M	ARGF.class	i	pub	read_nonblock
M	ARGF.class	i	pub	readbyte
M	ARGF.class	i	pub	readchar
M	ARGF.class	i	pub	readline
M	ARGF.class	i	pub	readlines
M	ARGF.class	i	pub	readpartial
M	ARGF.class	i	pub	rewind
M	ARGF.class	i	pub	seek
M	ARGF.class	i	pub	set_encoding
M	ARGF.class	i	pub	skip
M	ARGF.class	i	pub	tell
M	ARGF.class	i	pub	to_a
M	ARGF.class	i	pub	to_i
M	ARGF.class	i	pub	to_io
M	ARGF.class	i	pub	to_s
M	ARGF.class	i	pub	to_write_io
M	ARGF.class	i	pub	write
M	ARGF.class	i	priv	initialize
M	ARGF.class	i	priv	initialize_copy
A	ArgumentError	class	StandardError	ArgumentError,StandardError,Exception,Object,Kernel,BasicObject
A	Array	class	Object	Array,Enumerable,Object,Kernel,BasicObject
M	Array	s	pub	[]
M	Array	s	pub	try_convert
M	Array	i	pub	&
M	Array	i	pub	*
M	Array	i	pub	+
M	Array	i	pub	-
M	Array	i	pub	<<
M	Array	i	pub	<=>
M	Array	i	pub	==
M	Array	i	pub	[]
M	Array	i	pub	[]=
M	Array	i	pub	any?
M	Array	i	pub	assoc
M	Array	i	pub	at
M	Array	i	pub	bsearch
M	Array	i	pub	clear
M	Array	i	pub	collect
M	Array	i	pub	collect!
M	Array	i	pub	combination
M	Array	i	pub	compact
M	Array	i	pub	compact!
M	Array	i	pub	concat
M	Array	i	pub	count
M	Array	i	pub	cycle
M	Array	i	pub	delete
M	Array	i	pub	delete_at
M	Array	i	pub	delete_if
M	Array	i	pub	drop
M	Array	i	pub	drop_while
M	Array	i	pub	each
M	Array	i	pub	each_index
M	Array	i	pub	empty?
M	Array	i	pub	eql?
