name	verdict	where
rdoc/markup/to_html_crossref	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/markup/to_rdoc	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/meta_method	no	gem:rdoc(checked,missing:lib/rdoc/meta_method.rb)
rdoc/normal_class	no	gem:rdoc(checked,missing:lib/rdoc/normal_class.rb)
rdoc/normal_module	no	gem:rdoc(checked,missing:lib/rdoc/normal_module.rb)
rdoc/options	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/c	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/changelog	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/markdown	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/rd	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/ruby	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/ruby_tools	no	gem:rdoc(checked,missing:lib/rdoc/parser/ruby_tools.rb)
rdoc/parser/simple	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/parser/text	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/rdoc.lib	no	gem:rdoc(checked,missing:lib/rdoc/rdoc.lib.rb)
rdoc/require	no	gem:rdoc(checked,missing:lib/rdoc/require.rb)
rdoc/single_class	no	gem:rdoc(checked,missing:lib/rdoc/single_class.rb)
rdoc/stats	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/text	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/token_stream	yes	gem:rdoc@a9ebd59d3a49b1e929ae8658f84d3a29a360e10e(explicit-rev)
rdoc/top_level	no	gem:rdoc(checked,missing:lib/rdoc/top_level.rb)
readline	yes	gem:readline@v0.0.4
reline	yes	gem:reline@v0.7.0
resolv	yes	lib
resolv-replace	yes	gem:resolv-replace@v0.2.0
rexml	yes	gem:rexml@v3.4.4
rexml/document	yes	gem:rexml@v3.4.4
rexml/parsers/pullparser	yes	gem:rexml@v3.4.4
rexml/parsers/sax2parser	yes	gem:rexml@v3.4.4
rexml/parsers/streamparser	yes	gem:rexml@v3.4.4
rexml/parsers/ultralightparser	yes	gem:rexml@v3.4.4
rexml/sax2listener	yes	gem:rexml@v3.4.4
rexml/streamlistener	yes	gem:rexml@v3.4.4
rinda/rinda	yes	gem:rinda@v0.2.0
rinda/tuplespace	yes	gem:rinda@v0.2.0
ripper	yes	ext
ripper/filter	yes	ext
ripper/lexer	yes	ext
ripper/sexp	yes	ext
rss	yes	gem:rss@0.3.3(bare-version)
rubygems	yes	lib
rubygems/builder	no	none
rubygems/command	yes	lib
rubygems/command_manager	yes	lib
rubygems/commands/build_command	yes	lib
rubygems/commands/cert_command	yes	lib
rubygems/commands/check_command	yes	lib
rubygems/commands/cleanup_command	yes	lib
rubygems/commands/contents_command	yes	lib
rubygems/commands/dependency_command	yes	lib
rubygems/commands/environment_command	yes	lib
rubygems/commands/fetch_command	yes	lib
rubygems/commands/generate_index_command	yes	lib
rubygems/commands/help_command	yes	lib
rubygems/commands/install_command	yes	lib
rubygems/commands/list_command	yes	lib
rubygems/commands/lock_command	yes	lib
rubygems/commands/mirror_command	yes	lib
rubygems/commands/outdated_command	yes	lib
rubygems/commands/pristine_command	yes	lib
rubygems/commands/query_command	no	none
rubygems/commands/rdoc_command	yes	lib
rubygems/commands/search_command	yes	lib
rubygems/commands/server_command	yes	lib
rubygems/commands/sources_command	yes	lib
rubygems/commands/specification_command	yes	lib
rubygems/commands/stale_command	yes	lib
rubygems/commands/uninstall_command	yes	lib
rubygems/commands/unpack_command	yes	lib
rubygems/commands/update_command	yes	lib
rubygems/commands/which_command	yes	lib
rubygems/config_file	yes	lib
rubygems/custom_require	no	none
rubygems/defaults	yes	lib
rubygems/dependency	yes	lib
rubygems/dependency_installer	yes	lib
rubygems/dependency_list	yes	lib
rubygems/digest/digest_adapter	no	none
rubygems/digest/md5	no	none
rubygems/digest/sha1	no	none
rubygems/digest/sha2	no	none
rubygems/doc_manager	no	none
rubygems/exceptions	yes	lib
rubygems/ext	yes	lib
rubygems/ext/builder	yes	lib
rubygems/ext/configure_builder	yes	lib
rubygems/ext/ext_conf_builder	yes	lib
rubygems/ext/rake_builder	yes	lib
rubygems/format	no	none
rubygems/gem_openssl	no	none
rubygems/gem_path_searcher	no	none
rubygems/gem_runner	yes	lib
rubygems/indexer	no	none
rubygems/install_update_options	yes	lib
rubygems/installer	yes	lib
rubygems/local_remote_options	yes	lib
rubygems/old_format	no	none
