1.8.7	FileTest	m	writable_real?
1.8.7	FileTest	m	zero?
1.8.7	Fixnum	i	%
1.8.7	Fixnum	i	&
1.8.7	Fixnum	i	*
1.8.7	Fixnum	i	**
1.8.7	Fixnum	i	+
1.8.7	Fixnum	i	-
1.8.7	Fixnum	i	-@
1.8.7	Fixnum	i	/
1.8.7	Fixnum	i	<
1.8.7	Fixnum	i	<<
1.8.7	Fixnum	i	<=
1.8.7	Fixnum	i	<=>
1.8.7	Fixnum	i	==
1.8.7	Fixnum	i	>
1.8.7	Fixnum	i	>=
1.8.7	Fixnum	i	>>
1.8.7	Fixnum	i	[]
1.8.7	Fixnum	i	^
1.8.7	Fixnum	i	divmod
1.8.7	Fixnum	i	even?
1.8.7	Fixnum	i	fdiv
1.8.7	Fixnum	i	id2name
1.8.7	Fixnum	i	odd?
1.8.7	Fixnum	i	quo
1.8.7	Fixnum	i	size
1.8.7	Fixnum	i	to_f
1.8.7	Fixnum	i	to_s
1.8.7	Fixnum	i	to_sym
1.8.7	Fixnum	i	zero?
1.8.7	Fixnum	i	|
1.8.7	Fixnum	i	~
1.8.7	Float	c	DIG
1.8.7	Float	c	EPSILON
1.8.7	Float	c	MANT_DIG
1.8.7	Float	c	MAX
1.8.7	Float	c	MAX_10_EXP
1.8.7	Float	c	MAX_EXP
1.8.7	Float	c	MIN
1.8.7	Float	c	MIN_10_EXP
1.8.7	Float	c	MIN_EXP
1.8.7	Float	c	RADIX
1.8.7	Float	c	ROUNDS
1.8.7	Float	i	%
1.8.7	Float	i	*
1.8.7	Float	i	**
1.8.7	Float	i	+
1.8.7	Float	i	-
1.8.7	Float	i	-@
1.8.7	Float	i	/
1.8.7	Float	i	<
1.8.7	Float	i	<=
1.8.7	Float	i	<=>
1.8.7	Float	i	==
1.8.7	Float	i	>
1.8.7	Float	i	>=
1.8.7	Float	i	abs
1.8.7	Float	i	ceil
1.8.7	Float	i	divmod
1.8.7	Float	i	eql?
1.8.7	Float	i	finite?
1.8.7	Float	i	floor
1.8.7	Float	i	hash
1.8.7	Float	i	infinite?
1.8.7	Float	i	nan?
1.8.7	Float	i	round
1.8.7	Float	i	to_f
1.8.7	Float	i	to_i
1.8.7	Float	i	to_s
1.8.7	Float	i	zero?
1.8.7	Float	s	induced_from
1.8.7	GC	i	garbage_collect
1.8.7	GC	s	disable
1.8.7	GC	s	enable
1.8.7	GC	s	start
1.8.7	GC	s	stress
1.8.7	Hash	i	==
1.8.7	Hash	i	[]
1.8.7	Hash	i	[]=
1.8.7	Hash	i	clear
1.8.7	Hash	i	clone
1.8.7	Hash	i	default
1.8.7	Hash	i	default=
1.8.7	Hash	i	default_proc
1.8.7	Hash	i	delete
1.8.7	Hash	i	delete_if
1.8.7	Hash	i	each
1.8.7	Hash	i	each_key
1.8.7	Hash	i	each_value
1.8.7	Hash	i	empty?
1.8.7	Hash	i	equal?
1.8.7	Hash	i	fetch
1.8.7	Hash	i	has_key?
1.8.7	Hash	i	has_value?
1.8.7	Hash	i	hash
1.8.7	Hash	i	index
1.8.7	Hash	i	indexes
1.8.7	Hash	i	inspect
1.8.7	Hash	i	invert
1.8.7	Hash	i	keys
1.8.7	Hash	i	length
1.8.7	Hash	i	merge
1.8.7	Hash	i	rehash
1.8.7	Hash	i	reject
1.8.7	Hash	i	replace
1.8.7	Hash	i	select
1.8.7	Hash	i	shift
1.8.7	Hash	i	sort
1.8.7	Hash	i	to_a
1.8.7	Hash	i	to_hash
1.8.7	Hash	i	to_s
1.8.7	Hash	i	update
1.8.7	Hash	i	values
1.8.7	Hash	i	values_at
1.8.7	Hash	s	[]
1.8.7	Hash	s	new
1.8.7	IO	c	SEEK_CUR
1.8.7	IO	c	SEEK_END
1.8.7	IO	c	SEEK_SET
1.8.7	IO	i	<<
1.8.7	IO	i	binmode
1.8.7	IO	i	bytes
1.8.7	IO	i	chars
1.8.7	IO	i	clone
1.8.7	IO	i	close
1.8.7	IO	i	close_read
