#class	1.8.6	1.8.7	1.9.1	1.9.2	1.9.3	2.0.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	3.0	3.1	3.2	3.3	3.4	4.0	first	last	superclass
ARGF	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	1.8.6	4.0	-
ARGF.class	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
ArgumentError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	StandardError
Array	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
BasicObject	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	-
Bignum	class	class	class	class	class	class	class	class	class	-	-	-	-	-	-	-	-	-	-	1.8.6	2.3	Integer
Binding	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
Class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Module
ClosedQueueError	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	2.3	4.0	StopIteration
Comparable	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	1.8.6	4.0	-
Complex	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Numeric
Continuation	class	class	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.8.6	1.8.7	Object
Data	class	class	class	class	class	class	class	class	class	class	class	class	class	-	-	class	class	class	class	1.8.6	4.0	Object
DidYouMean	-	-	-	-	-	-	-	-	module	module	module	-	-	-	-	-	-	-	-	2.3	2.5	-
Dir	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	Object
ENV	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	object	1.8.6	4.0	-
EOFError	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	IOError
Encoding	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
Encoding::CompatibilityError	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	EncodingError
Encoding::Converter	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	1.9.1:Data;3.0:Object
Encoding::ConverterNotFoundError	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	EncodingError
Encoding::InvalidByteSequenceError	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	EncodingError
Encoding::UndefinedConversionError	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	EncodingError
EncodingError	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	StandardError
Enumerable	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	1.8.6	4.0	-
Enumerable::Enumerator	-	class	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.8.7	1.8.7	Object
Enumerator	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
